disease_mondo_term_norm,disease_mondo_termid,Disease Class
"Severe personality disorder with prominent features of negative affectivity, prominent features of disinhibition and prominent anankastic features",-1,Diseases of the nervous system
"Severe personality disorder with prominent features of negative affectivity, prominent features of disinhibition and prominent features of detachment",-1,Diseases of the nervous system
"Severe personality disorder with prominent features of negative affectivity, prominent features of disinhibition, prominent anankastic features and prominent features of detachment",-1,Diseases of the nervous system
optic atrophy 2,MONDO:0010698,Diseases of the nervous system
Sexual anhedonia,-1,Diseases of the nervous system
Sexual arousal dysfunctions,-1,Diseases of the nervous system
pelvic organ prolapse,MONDO:0000082,Diseases of the nervous system
physiological sexual disorder,MONDO:0002134,Diseases of the nervous system
Shaken Baby Syndrome,-1,"Trauma, Nervous System"
spontaneous periodic hypothermia,MONDO:0017577,Diseases of the nervous system
Shin Splint,-1,Neuromuscular Diseases
Shin Splints,-1,Neuromuscular Diseases
Shoulder syndrome,-1,Diseases of the nervous system
Shuddering,-1,Diseases of the nervous system
Salla disease,MONDO:0011449,Central Nervous System Diseases
sialidosis type 2,MONDO:0009738,Central Nervous System Diseases
sialuria,MONDO:0010028,Central Nervous System Diseases
"Signs and Symptoms, Neurobehavioral",-1,Neurologic Manifestations
"Signs and Symptoms, Neuromuscular",-1,Neurologic Manifestations
silent myocardial infarction,MONDO:0003678,Diseases of the nervous system
Silent cerebral macrobleed,-1,Diseases of the nervous system
Silent cerebral microbleed,-1,Diseases of the nervous system
Silent white matter abnormalities associated with vascular disease,-1,Diseases of the nervous system
Simple analgesic-overuse headache,-1,Diseases of the nervous system
Simple febrile seizures,-1,Diseases of the nervous system
obsolete schizophrenia,MONDO:0008413,Diseases of the nervous system
"Single episode depressive disorder, currently in full remission",-1,Diseases of the nervous system
"Single episode depressive disorder, currently in partial remission",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with melancholia",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with melancholia and seasonal pattern",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with melancholia and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with melancholia, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with prominent anxiety symptoms",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with prominent anxiety symptoms and melancholia",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with prominent anxiety symptoms and melancholia, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with prominent anxiety symptoms and seasonal pattern",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with prominent anxiety symptoms, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with prominent anxiety symptoms, melancholia, and seasonal pattern",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with seasonal pattern",-1,Diseases of the nervous system
"Single episode depressive disorder, mild, with seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with melancholia",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with melancholia and seasonal pattern",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with melancholia, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with prominent anxiety symptoms",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with prominent anxiety symptoms and melancholia",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with seasonal pattern",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, with psychotic symptoms, with seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with melancholia",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with melancholia and seasonal pattern",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with melancholia, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms and melancholia",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with seasonal pattern",-1,Diseases of the nervous system
"Single episode depressive disorder, moderate, without psychotic symptoms, with seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms",-1,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with melancholia",-1,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with melancholia and seasonal pattern",-1,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with melancholia, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with prominent anxiety symptoms",-1,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with prominent anxiety symptoms and melancholia",-1,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",-1,Diseases of the nervous system
"Single episode depressive disorder, severe, with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",-1,Diseases of the nervous system
